"SITE,C,254","X,N,19,15","Y,N,19,15","elevation","X","Y","slope","tri","aspect","tpi","dist_fish_river","dist_konkiep_river","dist_water_points","dist_tourist_road","dist_staff_buildings"
"FR27",17.582454,-27.447356,769,755247.034392397,6961361.7939281,17.661004172326,7.125,251.836716539462,-20.8131222874649,4723.47558191696,16172.5585027511,3651.82158412683,5827.61539845783,9583.65500604559
"FR28",17.465572,-27.559283,996,743443.652729685,6949192.14180634,0.348016396977834,0.875,132.908722631392,15.8501404135818,11478.4504004652,8059.9128082044,7518.27892476997,7895.63623515932,7893.6121346565
"FR29",17.465154,-27.537379,909,743450.701880663,6951620.51829794,5.74280616682192,3.375,291.721088714896,-20.9080929282615,11758.5123222628,6109.76684822981,5256.89590238737,6782.20350695447,7023.20098196951
"FR30",17.45442,-27.512139,890,742445.682381418,6954438.83130576,2.89018909264902,1.125,104.225429744744,-7.21062037273418,12676.0273179887,3505.3984263439,3761.6527178511,4585.31430975685,4798.14426124699
"FR31",17.661452,-27.421566,544,763119.537630415,6964055.35648286,4.86059572116092,2,132.908722631394,-12.0579525146796,254.930954249812,24481.4730769778,10477.4922282273,14119.4612866311,16427.6435042622
"FR32",17.683913,-27.394359,532,765406.112633184,6967023.11781836,17.6019753061569,7.75,192.142638652216,-18.1876436047996,531.618779096808,27364.7783485454,10158.2927467702,17455.963136694,20150.3169338685
"FR33",17.70342,-27.356877,523,767426.145721255,6971135.72705141,6.214098195865,2.375,109.988020257543,-25.6864947664029,7.4198381489671,30526.7870694962,10366.3005281481,19716.2225110888,24525.6631376013
"FR34",17.676284,-27.360358,574,764732.384521081,6970807.88807265,5.69266255289127,4.375,209.401873259273,-44.7388307378095,1790.69954197452,27924.2641684863,7844.52647692314,17033.3396530737,22594.276406487
"FR35",17.563632,-27.484337,847,753301.326487378,6957301.71205419,2.48278192828993,1.5,329.134653784796,45.7329588971152,3707.40313386968,13589.153154993,2775.0229040689,3162.15784800997,5067.80118843763
"FR36",17.601202,-27.420452,824,757163.215157124,6964304.94507752,4.89798965672031,2.75,308.854997621224,-8.24253255042129,5069.07480635435,18694.2543431332,6759.22401264031,8999.84690936929,13052.5254978974
